BALANCE,BALANCE_FREQUENCY,PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,TENURE,Cluster
-0.43940207149740024,0.5180838229034924,1.8331509062811542,-0.3755255295182272,1.0622106194142809,0.5512163358543921,1.0781700519280506,-0.2766689272695885,0.36067954425377496,1
0.3929313225303825,0.5180838229034924,-0.04850179543118934,-0.25207754176068364,1.2698432294420248,-0.5481652498246256,-0.30500410578509435,0.14925854617151071,0.36067954425377496,1
-0.21394947838491463,0.5180838229034924,-0.40687973886832585,-0.3383981396020488,-0.8064903456392755,-0.9054642651703063,-0.4510649045685137,-0.23315204820157695,0.36067954425377496,1
-0.7516398145387575,-3.7032710688263415,-0.4055223884922317,-0.4667855542850508,1.2698432294420248,-0.4931961705406747,-0.5544737931056722,4.8783048930235846e-17,0.36067954425377496,2
-0.7417328891251525,-0.24943448080104266,-0.3901422045755247,-0.4667855542850508,0.6469429077575061,-0.9604333444542572,-0.5323006025715976,-0.30826339959155913,0.36067954425377496,1
-0.5802805339619264,0.1343246710512249,-0.4695518820955651,-0.2805476605325479,-1.2217580572960502,-0.9054642651703063,0.07018565456908787,-0.3205214957434578,0.36067954425377496,1
-0.4912806749556219,-1.0169527845055772,0.17529251795695247,-0.4667855542850508,-0.5988577356115314,-0.5481652498246256,-0.5357577551595932,-0.2846851298641577,0.36067954425377496,2
-0.7129123309904388,0.5180838229034924,0.29725747002681063,-0.4667855542850508,1.2698432294420248,0.4137936376445149,-0.04954781549890986,-0.34167825457347956,0.36067954425377496,1
-0.5898269033175381,0.5180838229034924,1.1853858626607654,-0.4667855542850508,1.2698432294420248,4.261629187521077,0.3734452387796418,-0.29091953620842587,0.36067954425377496,0
-0.6190936275157135,0.5180838229034924,-0.2708919532578546,-0.4667855542850508,1.2698432294420248,-0.5481652498246256,-0.5435170253760768,-0.2979838404319028,0.36067954425377496,1
-0.7516398145387575,-3.7032710688263415,-0.4605418839094235,-0.4667855542850508,-1.0141254472683061,-0.13589715519499396,-0.5986882602099773,4.8783048930235846e-17,0.36067954425377496,2
-0.69336481476877,-0.537254900028966,-0.2892302248907391,-0.3859314779698264,0.02404258607298729,-1.0978560426641344,-0.5647578140588394,-0.3219375660004606,-2.628285197478895,2
-0.7273379714782449,0.1343246710512249,-0.26922568865823565,-0.4667855542850508,0.02404258607298729,-0.7680415669604291,-0.41166302003808397,-0.3109349956849559,0.36067954425377496,1
-0.5551635917887956,-2.5519936132695396,-0.4695518820955651,0.4258316282789699,-1.2217580572960502,1.5131752233235325,0.7493285863392707,-0.31758218744543704,0.36067954425377496,2
-0.612193238630198,0.5180838229034924,0.7556253309966964,-0.4667855542850508,1.2698432294420248,-0.5481652498246256,0.4199864568276711,-0.30008797248870805,0.36067954425377496,1
-0.11291899650531684,0.5180838229034924,-0.4695518820955651,0.02168779371694521,-1.2217580572960502,-0.7405570273184536,-0.3622035854319655,-0.23734869013528728,0.36067954425377496,1
